Category,Exercise Name,Description,Video URL,Sets,Reps
The Shoulder Rehabilitation,Pendulum Swings,Gentle exercise to increase shoulder mobility post-injury or surgery.,https://www.youtube.com/watch?v=S4H_rZA2kSM,3,10
The Shoulder Rehabilitation,Shoulder External Rotation with Resistance Band,Strengthens the rotator cuff muscles to improve shoulder stability.,https://www.youtube.com/watch?v=YMytSEYr2yU,3,15
The Shoulder Rehabilitation,Wall Slides,Enhances shoulder flexibility and range of motion.,https://www.youtube.com/watch?v=QVyMMFR6hec,3,12
Knee Rehabilitation,Straight Leg Raises,Strengthens the quadriceps without bending the knee.,https://www.youtube.com/watch?v=Vq_S9BR01Ug,3,15
Knee Rehabilitation,Quadriceps Sets,Isometric exercise to activate and strengthen the quadriceps.,https://www.youtube.com/watch?v=Vq_S9BR01Ug,3,10
Knee Rehabilitation,Heel Slides,Improves knee flexion range of motion post-surgery or injury.,https://www.youtube.com/watch?v=Vq_S9BR01Ug,3,12
Hip Rehabilitation,Clamshells,Targets hip abductors to improve hip stability.,https://www.youtube.com/watch?v=cLQcXGYKigg,3,15
Hip Rehabilitation,Side-Lying Leg Raises,Strengthens hip abductors and improves lateral hip movement.,https://www.youtube.com/watch?v=cLQcXGYKigg,3,12
Hip Rehabilitation,Hip Flexor Stretches,Enhances flexibility of the hip flexor muscles.,https://www.youtube.com/watch?v=cLQcXGYKigg,3,10
Ankle and Foot Rehabilitation,Ankle Pumps,Improves circulation and prevents stiffness in the ankle joint.,https://www.youtube.com/watch?v=PLVFCd_4qJSQK3f_mbroW8EjKWXeNpL6JU,3,20
Ankle and Foot Rehabilitation,Toe Curls with a Towel,Strengthens the intrinsic muscles of the foot.,https://www.youtube.com/watch?v=PLVFCd_4qJSQK3f_mbroW8EjKWXeNpL6JU,3,15
Ankle and Foot Rehabilitation,Standing Heel Raises,Strengthens the calf muscles and improves ankle stability.,https://www.youtube.com/watch?v=PLVFCd_4qJSQK3f_mbroW8EjKWXeNpL6JU,3,15
Core and Back Rehabilitation,Bird-Dog Exercise,Enhances core stability and spinal alignment.,https://www.youtube.com/watch?v=dqIWBBtYMuo,3,10
Core and Back Rehabilitation,Pelvic Tilts,Improves lower back flexibility and reduces pain.,https://www.youtube.com/watch?v=dqIWBBtYMuo,3,15
Core and Back Rehabilitation,Seated Back Extensions,Strengthens the lower back muscles.,https://www.youtube.com/watch?v=dqIWBBtYMuo,3,12
Cardiac Rehabilitation,Low-Impact Aerobics,Improves cardiovascular fitness safely post-cardiac events.,https://www.youtube.com/watch?v=-JsuNKbAAkU,1,10-15 minutes
Cardiac Rehabilitation,Breathing Exercises for Cardiac Patients,Enhances lung capacity and oxygenation.,https://www.youtube.com/watch?v=JIXkf_i3kG0,3,10
Neurological Rehabilitation,Arm-Reaching Exercises,Improves upper limb coordination and strength post-neurological events.,https://www.youtube.com/watch?v=dqIWBBtYMuo,3,10
Neurological Rehabilitation,Gait Training,Assists in relearning walking patterns and improving balance.,https://www.youtube.com/watch?v=dqIWBBtYMuo,1,10-15 minutes
